Course Letter,Course Number,Avg_Responses,Avg_Enrolled,Avg_Q1,Avg_Q2,Avg_Q3,Avg_Q4,Avg_Q5,Avg_Q6,Avg_Q7,Avg_Q8,Avg_Q9,Avg_AllQs
ANTH,202,10,87,1.8,1.3,1.5,1.5,3.1,1.9,2.2,1.9,1.8,1.54444444444444
ANTH,204,12,52,1.55,1.7,1.65,2.55,2.95,1.7,1.8,1.75,2,1.63333333333333
ANTH,208,49.3333333333333,132.666666666667,1.26666666666667,1.4,1.73333333333333,1.9,2.96666666666667,1.46666666666667,1.3,1.3,1.43333333333333,1.31111111111111
ANTH,209,23.6666666666667,84.3333333333333,1.26666666666667,1.4,1.63333333333333,1.73333333333333,2.93333333333333,1.33333333333333,1.4,1.23333333333333,1.4,1.26666666666667
ANTH,210,17.25,58.75,1.175,1.2,1.3,1.5,2.95,1.2,1.3,1.3,1.25,1.13611111111111
ANTH,213,11,53,1.24,1.14,1.44,1.46,2.92,1.44,1.38,1.42,1.42,1.21555555555556
ANTH,301,9.33333333333333,47.6666666666667,1.46666666666667,1.26666666666667,1.36666666666667,1.13333333333333,2.93333333333333,1.46666666666667,1.66666666666667,1.36666666666667,1.43333333333333,1.24074074074074
ANTH,302,11,52,1.1,1,1.1,1.2,2.8,1.2,1.2,1.3,1.1,1.02222222222222
ANTH,307,14.75,58.25,1.6,1.35,1.4,1.5,3,1.35,1.375,1.3,1.425,1.25555555555556
ANTH,308,6,45,1.1,1.3,1.3,1.5,3,1.1,1.8,1.5,1.1,1.18888888888889
ANTH,312,11,39,1.35,1.3,1.5,1.3,2.95,1.25,1.65,1.2,1.35,1.21111111111111
ANTH,316,14.5,57.5,1.4,1.15,1.3,1.75,2.95,1.55,1.6,1.55,1.6,1.32222222222222
ANTH,317,24,76.75,1.425,1.425,1.425,1.625,2.95,1.425,1.5,1.45,1.575,1.31666666666667
ANTH,318,4,17,1.5,1.5,1.5,1.2,3,1.5,1.5,1.5,2,1.35555555555556
ARCI,211,28,115.714285714286,1.67142857142857,1.54285714285714,1.8,1.75714285714286,2.77142857142857,1.87142857142857,1.82857142857143,1.84285714285714,2.02857142857143,1.59365079365079
ARCI,212,28.3333333333333,109.333333333333,1.85,1.88333333333333,1.73333333333333,1.9,2.81666666666667,1.83333333333333,2,1.75,2.21666666666667,1.68518518518519
ARCI,222,17.3333333333333,115.666666666667,1.56666666666667,1.7,1.43333333333333,1.76666666666667,2.96666666666667,1.5,2,1.36666666666667,1.76666666666667,1.45555555555556
ARCI,251,26.6666666666667,116.666666666667,1.83333333333333,1.73333333333333,1.46666666666667,2.06666666666667,2.96666666666667,1.36666666666667,1.26666666666667,1.46666666666667,1.56666666666667,1.41851851851852
ARCI,311,23,120,2.2,1.7,2.4,2,2.1,2.3,3.3,2.4,2.9,2.13333333333333
ARCI,312,27,118.25,1.8625,1.8125,1.8125,2.075,2.775,1.7875,1.875,1.6625,2.1125,1.66666666666667
ARTH,101,27,100,1.43333333333333,1.56666666666667,1.66666666666667,1.96666666666667,2.6,1.43333333333333,1.4,1.5,1.76666666666667,1.41481481481481
ARTH,102,24,122,1.2,1.5,1.6,1.4,3,1.4,1.3,1.6,1.3,1.25555555555556
ARTH,103,4.66666666666667,12.3333333333333,1.3,1.66666666666667,1.9,1.5,2.3,1.33333333333333,1.5,1.66666666666667,1.66666666666667,1.39259259259259
ARTH,201,13,60,1,1,1,1,3,1,1,1,1,0.888888888888889
ARTH,202,9,45.5,1.1,1.4,1.25,1.55,3,1.15,1.25,1.45,1.25,1.15555555555556
